Quantity,datetime
34,2018.6986301369864
73,2019.0657534246575
76,2019.172602739726
44,2019.13698630137
33,2019.1616438356164
52,2019.1616438356164
71,2019.2547945205479
70,2019.295890410959
54,2019.4301369863015
72,2018.9424657534246
72,2018.509589041096
76,2018.517808219178
34,2018.517808219178
100,2018.5369863013698
66,2018.5397260273974
98,2018.545205479452
5,2018.5479452054794
80,2018.5561643835617
74,2018.5561643835617
50,2018.5561643835617
82,2018.5643835616438
86,2018.5671232876712
18,2018.5753424657535
92,2018.5753424657535
84,2018.5753424657535
54,2018.5835616438355
82,2018.5863013698631
24,2018.5863013698631
100,2018.5945205479452
74,2018.6054794520549
20,2018.6054794520549
72,2018.6191780821919
86,2018.6246575342466
92,2018.6246575342466
100,2018.6328767123289
80,2018.641095890411
48,2018.641095890411
48,2018.6520547945206
60,2018.66301369863
96,2018.66301369863
100,2018.7095890410958
38,2018.7095890410958
100,2018.7205479452055
80,2018.7205479452055
60,2018.7534246575342
40,2018.7780821917809
54,2018.786301369863
90,2018.786301369863
92,2018.786301369863
34,2018.7917808219179
32,2018.8109589041096
70,2018.8301369863013
70,2018.8465753424657
100,2018.8520547945207
50,2018.8657534246574
60,2018.8712328767124
80,2018.9013698630138
80,2018.9013698630138
84,2018.9095890410958
100,2018.9315068493152
72,2018.9315068493152
100,2018.9424657534246
62,2018.945205479452
100,2018.958904109589
50,2018.958904109589
100,2018.964383561644
46,2018.9835616438356
100,2018.9835616438356
100,2018.986301369863
100,2018.9890410958903
40,2019.0246575342467
70,2019.0383561643835
100,2019.0383561643835
40,2019.0438356164384
100,2019.0602739726028
100,2019.0602739726028
28,2019.0794520547945
86,2019.0821917808219
70,2019.0821917808219
100,2019.0986301369862
92,2018.4986301369863
36,2018.5013698630137
100,2018.5013698630137
100,2018.5205479452054
100,2018.5205479452054
100,2018.5835616438355
60,2018.5835616438355
26,2018.5945205479452
93,2018.66301369863
66,2018.4986301369863
90,2018.4986301369863
65,2018.4986301369863
65,2018.4986301369863
69,2018.4986301369863
26,2018.5068493150684
100,2018.5205479452054
100,2018.5205479452054
80,2018.5205479452054
30,2018.5205479452054
85,2018.5205479452054
95,2018.5205479452054
55,2018.517808219178
75,2018.517808219178
70,2018.517808219178
20,2018.517808219178
15,2018.5369863013698
30,2018.5369863013698
50,2018.5369863013698
45,2018.5369863013698
66,2018.5369863013698
78,2018.5369863013698
21,2018.5205479452054
60,2018.5205479452054
55,2018.5205479452054
85,2018.5232876712328
69,2018.5232876712328
60,2018.5260273972603
89,2018.5424657534247
41,2018.5424657534247
95,2018.5287671232877
80,2018.5287671232877
50,2018.5287671232877
75,2018.5287671232877
80,2018.5287671232877
50,2018.5287671232877
43,2018.5424657534247
81,2018.5424657534247
35,2018.5424657534247
100,2018.5424657534247
85,2018.545205479452
88,2018.545205479452
37,2018.5479452054794
70,2018.5479452054794
10,2018.5479452054794
100,2018.5479452054794
52,2018.5561643835617
40,2018.5561643835617
40,2018.5561643835617
100,2018.5561643835617
85,2018.558904109589
31,2018.558904109589
70,2018.5616438356165
70,2018.5616438356165
35,2018.5616438356165
20,2018.5616438356165
50,2018.5616438356165
65,2018.5643835616438
100,2018.5753424657535
90,2018.5753424657535
80,2018.5753424657535
100,2018.5671232876712
100,2018.5671232876712
50,2018.5671232876712
90,2018.5671232876712
8,2018.5780821917808
30,2018.5780821917808
30,2018.5780821917808
20,2018.5808219178082
35,2018.5808219178082
30,2018.5808219178082
100,2018.5808219178082
70,2018.5808219178082
25,2018.5808219178082
60,2018.5808219178082
100,2018.5808219178082
40,2018.5808219178082
61,2018.5808219178082
100,2018.5835616438355
21,2018.5835616438355
87,2018.5863013698631
15,2018.5863013698631
95,2018.5945205479452
70,2018.5945205479452
88,2018.5972602739726
15,2018.5972602739726
60,2018.6
10,2018.6
100,2018.6
39,2018.6
80,2018.6
75,2018.6027397260275
90,2018.6054794520549
95,2018.6054794520549
90,2018.6054794520549
25,2018.6054794520549
60,2018.6054794520549
75,2018.6054794520549
49,2018.6054794520549
52,2018.613698630137
65,2018.613698630137
92,2018.613698630137
89,2018.613698630137
57,2018.613698630137
30,2018.613698630137
75,2018.613698630137
32,2018.6164383561643
67,2018.6164383561643
50,2018.6191780821919
41,2018.6191780821919
12,2018.6191780821919
61,2018.6191780821919
54,2018.6191780821919
91,2018.6246575342466
73,2018.6246575342466
65,2018.6246575342466
54,2018.6246575342466
62,2018.6246575342466
25,2018.6246575342466
42,2018.6246575342466
75,2018.6246575342466
89,2018.6328767123289
62,2018.6328767123289
25,2018.6328767123289
60,2018.6328767123289
18,2018.6356164383562
53,2018.641095890411
59,2018.641095890411
46,2018.641095890411
32,2018.6383561643836
25,2018.6383561643836
40,2018.6383561643836
65,2018.6383561643836
28,2018.6575342465753
72,2018.6438356164383
69,2018.6438356164383
49,2018.6438356164383
34,2018.6438356164383
47,2018.6438356164383
42,2018.6438356164383
85,2018.6520547945206
31,2018.6520547945206
77,2018.6520547945206
64,2018.6520547945206
74,2018.6520547945206
25,2018.6520547945206
35,2018.6520547945206
42,2018.654794520548
34,2018.654794520548
45,2018.6575342465753
89,2018.6575342465753
47,2018.6575342465753
67,2018.6575342465753
76,2018.6602739726027
43,2018.66301369863
100,2018.66301369863
6,2018.6739726027397
67,2018.676712328767
67,2018.676712328767
87,2018.676712328767
92,2018.6794520547944
100,2018.682191780822
42,2018.682191780822
25,2018.682191780822
42,2018.690410958904
34,2018.690410958904
76,2018.690410958904
45,2018.690410958904
42,2018.690410958904
51,2018.6931506849314
63,2018.6931506849314
52,2018.695890410959
36,2018.695890410959
60,2018.695890410959
69,2018.695890410959
30,2018.695890410959
66,2018.695890410959
15,2018.695890410959
55,2018.695890410959
18,2018.695890410959
20,2018.695890410959
30,2018.6986301369864
50,2018.6986301369864
10,2018.6986301369864
55,2018.6986301369864
26,2018.6986301369864
54,2018.7095890410958
39,2018.7095890410958
52,2018.7095890410958
25,2018.7095890410958
20,2018.7095890410958
92,2018.6301369863013
29,2018.6301369863013
59,2018.717808219178
21,2018.717808219178
46,2018.7205479452055
67,2018.7205479452055
41,2018.7205479452055
85,2018.7205479452055
64,2018.7287671232878
53,2018.7287671232878
21,2018.7287671232878
58,2018.7287671232878
44,2018.7287671232878
42,2018.7287671232878
30,2018.7287671232878
30,2018.7287671232878
6,2018.731506849315
56,2018.731506849315
62,2018.731506849315
95,2018.7342465753425
20,2018.7342465753425
72,2018.7342465753425
100,2018.7342465753425
36,2018.7342465753425
87,2018.7342465753425
94,2018.7369863013698
95,2018.7397260273972
56,2018.7397260273972
74,2018.7397260273972
45,2018.7397260273972
42,2018.7397260273972
84,2018.7397260273972
40,2018.7397260273972
66,2018.7479452054795
53,2018.7479452054795
64,2018.7479452054795
85,2018.7479452054795
84,2018.7479452054795
64,2018.7506849315068
20,2018.7506849315068
82,2018.7506849315068
98,2018.7506849315068
57,2018.7506849315068
28,2018.7534246575342
94,2018.7534246575342
42,2018.7534246575342
36,2018.7534246575342
42,2018.7534246575342
27,2018.7534246575342
89,2018.7534246575342
42,2018.7589041095891
42,2018.7589041095891
70,2018.7589041095891
48,2018.7589041095891
22,2018.7589041095891
70,2018.7589041095891
60,2018.7671232876712
70,2018.7671232876712
85,2018.7671232876712
62,2018.7671232876712
78,2018.7671232876712
45,2018.7671232876712
30,2018.7671232876712
47,2018.7698630136986
90,2018.772602739726
84,2018.772602739726
37,2018.772602739726
75,2018.772602739726
30,2018.772602739726
78,2018.7753424657535
95,2018.7780821917809
15,2018.7780821917809
15,2018.7780821917809
52,2018.7780821917809
45,2018.7780821917809
40,2018.7780821917809
67,2018.7780821917809
49,2018.7780821917809
60,2018.7780821917809
78,2018.786301369863
86,2018.786301369863
64,2018.786301369863
60,2018.786301369863
64,2018.786301369863
65,2018.786301369863
75,2018.786301369863
46,2018.786301369863
35,2018.786301369863
26,2018.7890410958903
98,2018.7890410958903
37,2018.7917808219179
52,2018.7917808219179
45,2018.7917808219179
48,2018.7972602739726
56,2018.7972602739726
45,2018.7972602739726
44,2018.805479452055
78,2018.805479452055
68,2018.805479452055
50,2018.805479452055
78,2018.7972602739726
22,2018.7972602739726
42,2018.7972602739726
88,2018.7972602739726
52,2018.813698630137
76,2018.8164383561643
82,2018.8164383561643
45,2018.8164383561643
64,2018.8164383561643
24,2018.8164383561643
10,2018.8082191780823
59,2018.8082191780823
74,2018.8082191780823
36,2018.8082191780823
58,2018.7972602739726
52,2018.7972602739726
64,2018.7972602739726
45,2018.7972602739726
57,2018.7972602739726
65,2018.7972602739726
6,2018.827397260274
67,2018.827397260274
46,2018.827397260274
77,2018.827397260274
60,2018.8301369863013
43,2018.8301369863013
62,2018.8301369863013
50,2018.8301369863013
77,2018.8301369863013
60,2018.8301369863013
70,2018.8328767123287
54,2018.8328767123287
44,2018.835616438356
55,2018.835616438356
39,2018.835616438356
78,2018.8438356164384
85,2018.8438356164384
34,2018.8438356164384
32,2018.8438356164384
75,2018.8438356164384
73,2018.8465753424657
34,2018.8465753424657
43,2018.8465753424657
13,2018.849315068493
58,2018.849315068493
24,2018.849315068493
87,2018.849315068493
32,2018.849315068493
95,2018.849315068493
42,2018.8520547945207
87,2018.854794520548
46,2018.854794520548
80,2018.854794520548
60,2018.854794520548
60,2018.854794520548
42,2018.86301369863
41,2018.86301369863
90,2018.86301369863
10,2018.8657534246574
28,2018.8657534246574
32,2018.8657534246574
24,2018.868493150685
36,2018.868493150685
75,2018.868493150685
68,2018.868493150685
39,2018.868493150685
58,2018.868493150685
70,2018.868493150685
58,2018.868493150685
95,2018.868493150685
42,2018.868493150685
65,2018.8712328767124
52,2018.8712328767124
82,2018.8739726027397
54,2018.8739726027397
95,2018.8739726027397
45,2018.8739726027397
42,2018.8739726027397
57,2018.8739726027397
55,2018.8739726027397
68,2018.8739726027397
95,2018.8739726027397
59,2018.8821917808218
58,2018.8821917808218
66,2018.8821917808218
85,2018.8821917808218
60,2018.8821917808218
55,2018.8821917808218
46,2018.8876712328768
77,2018.8876712328768
100,2018.8876712328768
42,2018.8876712328768
15,2018.8876712328768
92,2018.9013698630138
68,2018.9013698630138
82,2018.9013698630138
45,2018.9013698630138
36,2018.9041095890411
83,2018.9041095890411
24,2018.9041095890411
26,2018.9041095890411
42,2018.9068493150685
40,2018.9068493150685
95,2018.9068493150685
63,2018.9095890410958
79,2018.9095890410958
87,2018.9123287671232
45,2018.9123287671232
56,2018.9123287671232
76,2018.9123287671232
53,2018.9205479452055
31,2018.9232876712329
10,2018.9232876712329
67,2018.9232876712329
85,2018.9232876712329
16,2018.9287671232876
64,2018.9287671232876
54,2018.9287671232876
86,2018.9287671232876
37,2018.9315068493152
